	Pt	T	Vf	Vm	Ach	Over	
	#	s	V vs. Ref.	V	V	bits	
	329	332.75	-1.87E-01	-1.87E-01	0.00E+00	...........	
	330	333.758	-1.87E-01	-1.87E-01	0.00E+00	...........	
	331	334.767	-1.87E-01	-1.87E-01	0.00E+00	...........	
	332	335.775	-1.87E-01	-1.87E-01	0.00E+00	...........	
	333	336.783	-1.87E-01	-1.87E-01	0.00E+00	...........	
	334	337.792	-1.87E-01	-1.87E-01	0.00E+00	...........	
	335	338.8	-1.87E-01	-1.87E-01	0.00E+00	...........	
	336	339.808	-1.87E-01	-1.87E-01	0.00E+00	...........	
	337	340.817	-1.87E-01	-1.87E-01	0.00E+00	...........	
	338	341.825	-1.87E-01	-1.87E-01	0.00E+00	...........	
	339	342.833	-1.87E-01	-1.87E-01	0.00E+00	...........	
	340	343.842	-1.87E-01	-1.87E-01	0.00E+00	...........	
	341	344.85	-1.87E-01	-1.87E-01	0.00E+00	...........	
	342	345.858	-1.87E-01	-1.87E-01	0.00E+00	...........	
	343	346.867	-1.87E-01	-1.87E-01	0.00E+00	...........	
	344	347.875	-1.87E-01	-1.87E-01	0.00E+00	...........	
	345	348.883	-1.87E-01	-1.87E-01	0.00E+00	...........	
	346	349.892	-1.87E-01	-1.87E-01	0.00E+00	...........	
	347	350.9	-1.87E-01	-1.87E-01	0.00E+00	...........	
	348	351.908	-1.87E-01	-1.87E-01	0.00E+00	...........	
	349	352.917	-1.87E-01	-1.87E-01	0.00E+00	...........	
	350	353.925	-1.87E-01	-1.86E-01	0.00E+00	...........	
	351	354.933	-1.87E-01	-1.86E-01	0.00E+00	...........	
	352	355.942	-1.87E-01	-1.86E-01	0.00E+00	...........	
	353	356.95	-1.86E-01	-1.86E-01	0.00E+00	...........	
	354	357.958	-1.86E-01	-1.86E-01	0.00E+00	...........	
	355	358.967	-1.86E-01	-1.86E-01	0.00E+00	...........	
	356	359.975	-1.86E-01	-1.86E-01	0.00E+00	...........	
	357	360.983	-1.86E-01	-1.86E-01	0.00E+00	...........	
	358	361.992	-1.86E-01	-1.86E-01	0.00E+00	...........	
	359	363	-1.86E-01	-1.86E-01	0.00E+00	...........	
	360	364.008	-1.86E-01	-1.86E-01	0.00E+00	...........	
	361	365.017	-1.86E-01	-1.86E-01	0.00E+00	...........	
	362	366.025	-1.86E-01	-1.86E-01	0.00E+00	...........	
	363	367.033	-1.86E-01	-1.86E-01	0.00E+00	...........	
	364	368.042	-1.86E-01	-1.86E-01	0.00E+00	...........	
	365	369.05	-1.86E-01	-1.86E-01	0.00E+00	...........	
	366	370.058	-1.86E-01	-1.86E-01	0.00E+00	...........	
	367	371.067	-1.86E-01	-1.86E-01	0.00E+00	...........	
	368	372.075	-1.86E-01	-1.86E-01	0.00E+00	...........	
	369	373.083	-1.86E-01	-1.86E-01	0.00E+00	...........	
	370	374.092	-1.86E-01	-1.86E-01	0.00E+00	...........	
	371	375.1	-1.86E-01	-1.86E-01	0.00E+00	...........	
	372	376.108	-1.86E-01	-1.86E-01	0.00E+00	...........	
	373	377.117	-1.86E-01	-1.86E-01	0.00E+00	...........	
	374	378.125	-1.86E-01	-1.86E-01	0.00E+00	...........	
	375	379.133	-1.86E-01	-1.86E-01	0.00E+00	...........	
	376	380.142	-1.86E-01	-1.86E-01	0.00E+00	...........	
	377	381.15	-1.86E-01	-1.86E-01	0.00E+00	...........	
	378	382.158	-1.86E-01	-1.86E-01	0.00E+00	...........	
	379	383.167	-1.86E-01	-1.86E-01	0.00E+00	...........	
	380	384.175	-1.86E-01	-1.85E-01	0.00E+00	...........	
	381	385.183	-1.86E-01	-1.85E-01	0.00E+00	...........	
	382	386.192	-1.86E-01	-1.85E-01	0.00E+00	...........	
	383	387.2	-1.85E-01	-1.85E-01	0.00E+00	...........	
	384	388.208	-1.85E-01	-1.85E-01	0.00E+00	...........	
	385	389.217	-1.85E-01	-1.85E-01	0.00E+00	...........	
	386	390.225	-1.85E-01	-1.85E-01	0.00E+00	...........	
	387	391.233	-1.85E-01	-1.85E-01	0.00E+00	...........	
	388	392.242	-1.85E-01	-1.85E-01	0.00E+00	...........	
